z,zErr,specClass,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z
1.65723,2.30639E-3,3,20.356276,20.183466,20.148973,19.87878,19.997833,0.045129,0.021299,0.026383,0.030252,0.091009
1.59747,1.68025E-3,3,19.732691,19.507305,19.371346,19.133678,19.15506,0.03185,0.016604,0.021481,0.01835,0.04521
1.93589,1.48849E-3,3,19.867336,19.588297,19.184103,18.805925,18.551249,0.034867,0.015761,0.019286,0.018365,0.030816
1.11325,2.02587E-3,3,19.50552,19.214258,18.90386,18.798962,18.805979,0.025903,0.016296,0.014814,0.015714,0.035542
1.62718,1.40466E-3,3,19.39205,19.051826,18.872658,18.596491,18.566635,0.024448,0.015889,0.017154,0.014421,0.028519
2.28095,1.70215E-3,3,19.821089,19.021528,18.872066,18.681082,18.304777,0.03319,0.018213,0.014932,0.014721,0.026201
1.94898,1.83203E-3,3,20.019688,19.929558,20.014217,19.756468,19.604345,0.035929,0.02453,0.020623,0.024803,0.065645
1.21446,9.69164E-4,3,20.051184,19.801676,19.378679,19.318115,19.224524,0.03631,0.021179,0.01806,0.021274,0.047066
1.78585,1.57645E-3,3,20.292521,19.824568,19.499542,18.984921,18.822796,0.043688,0.02122,0.019115,0.01878,0.035117
2.56203,1.15119E-3,4,19.619678,19.102896,19.031389,19.01111,18.848085,0.029337,0.016505,0.014043,0.01969,0.035372
1.59896,1.64769E-3,3,19.736427,19.446781,19.269918,19.012651,18.999332,0.031017,0.020007,0.015013,0.020192,0.039498
1.76476,1.81627E-3,3,20.210423,19.676836,19.046474,18.576042,18.43623,0.039167,0.018402,0.015625,0.014399,0.031478
1.43955,6.26247E-3,3,20.436329,20.366989,20.268106,20.080603,20.207319,0.045336,0.022557,0.024105,0.029988,0.102752
1.80407,2.80901E-3,3,19.745785,19.481281,19.354832,19.184364,19.255716,0.030473,0.020963,0.017073,0.020429,0.047465
1.76046,1.57909E-3,3,19.282278,19.236378,19.178986,18.857891,18.791737,0.025865,0.017316,0.014625,0.016498,0.040207
3.02068,0.021129,4,22.251215,20.499187,20.205517,20.437475,20.720388,0.187316,0.029616,0.022795,0.040101,0.162682
0.661225,1.23837E-3,3,19.360817,19.09236,19.187778,19.146935,19.146683,0.026642,0.028001,0.016792,0.019267,0.048963
2.71351,4.31453E-3,4,21.580156,20.175652,19.863527,19.453028,19.11849,0.114093,0.031641,0.020687,0.020877,0.04606
1.15232,1.42209E-3,3,19.366055,19.300203,19.022066,18.978785,19.064417,0.02882,0.032614,0.012718,0.019658,0.046094
0.676346,1.43541E-3,3,20.051203,19.520573,19.267628,19.090658,18.936104,0.037147,0.018408,0.016808,0.020615,0.037894
1.54586,3.3443E-3,3,20.423767,20.224804,20.05982,19.849041,19.908998,0.04963,0.026551,0.02353,0.026778,0.083328
1.92946,1.64822E-3,3,19.867985,19.778606,19.722822,19.669531,19.47143,0.040202,0.024592,0.019793,0.028191,0.065958
1.38266,3.71629E-3,3,19.73954,19.169479,18.572815,18.365671,18.282213,0.040169,0.043392,0.016613,0.023849,0.033437
1.76509,1.92544E-3,3,20.572201,20.270512,20.306692,20.046976,19.897871,0.082683,0.035332,0.031079,0.039177,0.11993
2.12589,1.62825E-3,3,19.280355,19.031664,19.011965,18.784723,18.619637,0.027644,0.01452,0.015449,0.015281,0.030916
1.08453,1.66052E-3,3,19.953156,19.546801,19.24865,19.274038,19.221666,0.039222,0.01973,0.01759,0.022222,0.050295
1.90472,1.43162E-3,3,19.525005,19.259106,19.162863,19.054028,19.009581,0.029638,0.021519,0.023321,0.018406,0.045374
1.58629,2.13636E-3,3,19.232372,19.027166,18.917309,18.666887,18.694798,0.026707,0.023713,0.033033,0.024809,0.061893
1.69196,1.8397E-3,3,19.470999,19.28273,19.247652,19.025606,19.10153,0.032335,0.025496,0.022832,0.031457,0.069029
1.36097,1.82341E-3,3,19.430435,19.42193,19.20838,19.210476,19.277567,0.034746,0.036686,0.038611,0.023015,0.081176
0.847659,1.42076E-3,3,19.490973,19.370916,19.263823,19.254284,19.023672,0.035088,0.036492,0.038712,0.021877,0.066
1.00703,1.97391E-3,3,19.395857,19.305185,18.984535,19.030106,18.904583,0.033645,0.036261,0.037829,0.020905,0.060713
1.56195,1.73942E-3,3,19.373835,19.13728,19.098345,19.041473,19.057934,0.039941,0.029158,0.043206,0.02341,0.063455
2.00423,1.55867E-3,3,19.136816,19.014526,18.83917,18.648436,18.567883,0.032589,0.023019,0.025672,0.041809,0.044248
1.98991,5.34117E-3,3,19.485231,19.402964,19.19838,19.126629,18.894289,0.038636,0.036705,0.056554,0.031314,0.058594
1.65242,4.13444E-3,3,19.995913,19.644918,19.102703,18.571472,18.401285,0.042287,0.038163,0.037659,0.019672,0.041791
1.34255,1.61581E-3,3,19.228697,19.120975,18.835127,18.777922,18.853952,0.027339,0.040166,0.026836,0.027802,0.056257
1.94207,1.34295E-3,3,19.154919,19.045305,18.739613,18.334511,18.103127,0.032469,0.022058,0.024198,0.015733,0.037308
1.59778,1.64378E-3,3,19.79302,19.400528,19.33176,19.094957,19.085527,0.044247,0.08838,0.040826,0.021681,0.072168
1.07043,2.02942E-3,3,19.32251,19.183004,18.919601,18.937294,19.091116,0.0316,0.037709,0.046606,0.026463,0.06874
3.30201,1.02468E-3,3,22.938629,19.512901,19.087744,19.060503,19.071709,0.531969,0.018696,0.032956,0.023378,0.076798
